,model,features,pcs,init_type,nl_type,score,lower,upper
0,expansion,3,False,kaiming_uniform,relu,tensor(0.2876),0.2679744362831116,0.30783146619796753
1,expansion,30,False,kaiming_uniform,relu,tensor(0.4993),0.4846683144569397,0.5138121843338013
2,expansion,300,False,kaiming_uniform,relu,tensor(0.5558),0.5426628589630127,0.5688648223876953
3,expansion,3000,False,kaiming_uniform,relu,tensor(0.5722),0.5591913461685181,0.5847784280776978
4,expansion,30000,False,kaiming_uniform,relu,tensor(0.5739),0.561323881149292,0.5865942239761353
