,model,features,pcs,init_type,nl_type,score,lower,upper
0,expansion,3,False,kaiming_uniform,relu,tensor(0.4863),0.38397321105003357,0.5888527631759644
1,expansion,3,False,kaiming_uniform,gelu,tensor(0.4258),0.3228442072868347,0.5060372352600098
2,expansion,3,False,kaiming_uniform,elu,tensor(0.4886),0.37220287322998047,0.6020057201385498
3,expansion,3,False,kaiming_uniform,abs,tensor(0.3993),0.3343842029571533,0.4945492148399353
4,expansion,3,False,kaiming_uniform,leaky_relu,tensor(0.2509),0.12217573076486588,0.37499696016311646
