,model,features,pcs,init_type,nl_type,score,lower,upper
0,expansion,3,False,kaiming_uniform,relu,tensor(0.0356),0.015657147392630577,0.054184332489967346
1,expansion,30,False,kaiming_uniform,relu,tensor(0.2295),0.20852920413017273,0.2490478754043579
2,expansion,300,False,kaiming_uniform,relu,tensor(0.4072),0.3898248076438904,0.4250481426715851
3,expansion,3000,False,kaiming_uniform,relu,tensor(0.5351),0.5219661593437195,0.5485938787460327
4,expansion,30000,False,kaiming_uniform,relu,tensor(0.5738),0.5604968070983887,0.5865845680236816
