,model,features,pcs,init_type,nl_type,score,lower,upper
0,expansion,3,False,kaiming_uniform,relu,tensor(0.4927),0.3719879388809204,0.6190776228904724
1,expansion,3,False,kaiming_normal,relu,tensor(0.3616),0.2352921962738037,0.5149428844451904
2,expansion,3,False,xavier_uniform,relu,tensor(0.4170),0.3082132041454315,0.5476531982421875
3,expansion,3,False,xavier_normal,relu,tensor(0.3922),0.268331378698349,0.5008042454719543
4,expansion,3,False,orthogonal,relu,tensor(0.4122),0.3086177110671997,0.5230764150619507
