,region,model,alpha,mean_score
0,IT,10,1000,0.13522860776477805
1,V4,10,1000,0.10604041436454281
2,IT,100,1000,0.21914489526257275
3,V4,100,1000,0.21704357489943504
4,IT,1000,10000,0.3052675773478335
5,V4,1000,10000,0.2849424479698593
6,IT,10000,10000,0.372600830071384
7,V4,10000,10000,0.3501757957379926
8,IT,100000,100000,0.3890512161888182
9,V4,100000,100000,0.3689938299357891
